,train_loss,test_loss
50,-0.1855741789049314,-0.20454832952431534
51,-0.18348282878201366,-0.20279166076165683
52,-0.18136997952135467,-0.20065942907383763
53,-0.17983216053148163,-0.1993536766081807
54,-0.17839022769593454,-0.19818519412232521
55,-0.17646271533536362,-0.1966287868885391
56,-0.17487708226315404,-0.19546314224721512
57,-0.17323295720352977,-0.19384950514870994
58,-0.17180312121615177,-0.19263338127284035
59,-0.17071993732571367,-0.19170480414400978
60,-0.16968526982277832,-0.19082322344052705
61,-0.1681967411893667,-0.18948479276511315
62,-0.16682837840317016,-0.18843941253522367
63,-0.16530165296837163,-0.18716893963681094
64,-0.1640121346866515,-0.18615094890641512
65,-0.1623766666131577,-0.18496711626150272
66,-0.16152467011723048,-0.18421626989587003
67,-0.1603006525418287,-0.18333634460169734
68,-0.15939454988258606,-0.18259480722608093
69,-0.1577367943696338,-0.18115548257804245
70,-0.15613313068723858,-0.17967521342310783
71,-0.15537530041461803,-0.17911328795763254
72,-0.15452766107727306,-0.1784511349830211
73,-0.15337464798745137,-0.1774871922916575
74,-0.1520929123935936,-0.17630983079222987
75,-0.1508932891731489,-0.1752412533331774
76,-0.149845206208263,-0.17446959610764684
77,-0.1489902428313275,-0.1737721098187357
78,-0.1482966949805533,-0.17333651143255768
79,-0.14735904591986498,-0.17269537355665507
80,-0.14670214693256037,-0.17218757137608973
81,-0.14602607071439055,-0.17148544134158153
82,-0.14527620945549277,-0.1709078324853051
83,-0.14455699163425553,-0.17032281728477788
84,-0.14355252325346737,-0.1694837827504458
85,-0.1426957826144786,-0.16895634139579296
86,-0.14186356532527336,-0.1684542579019351
87,-0.14104774471178544,-0.16777316446495796
88,-0.14025449819292582,-0.16718892322203022
89,-0.13972739666654435,-0.1666731449784255
90,-0.13894028456832025,-0.16602361181245046
91,-0.13815833226315402,-0.16546060065645363
92,-0.13766198883650108,-0.16518170718535355
93,-0.13708617026399794,-0.16479171855049093
94,-0.13637204057202612,-0.1643156808797387
95,-0.13571621654160856,-0.16394055868043325
96,-0.13513035070540105,-0.163635769877983
97,-0.13449608314375872,-0.1632080723089666
98,-0.13379999839473106,-0.1626193163133751
99,-0.13331261294213692,-0.1622808818541685
100,-0.13265253208244662,-0.16194019001863003
101,-0.13219553207786014,-0.1615444611982377
102,-0.13150262920121816,-0.16107649633522478
103,-0.13094253366478315,-0.16070609312739412
104,-0.13028094786545094,-0.1602485766919745
105,-0.12990555858773023,-0.15994724919989983
106,-0.12944286847802158,-0.15974822385330442
107,-0.12875188619101782,-0.15921354814497843
108,-0.1283168583052029,-0.15890011681600036
109,-0.12777499403757248,-0.15851798600065495
110,-0.12742796928891173,-0.15835135937912778
111,-0.12711375222444413,-0.1581484212468904
112,-0.12660000882897923,-0.15781286762985977
113,-0.12618179326887796,-0.1573463969349903
114,-0.12540328082575034,-0.15682191166839116
115,-0.12487594997523299,-0.1564646119926966
116,-0.12444783047901226,-0.1561988005549104
117,-0.12392138825952154,-0.15585501288897388
118,-0.12335217708868423,-0.15552328606229637
119,-0.12295573298873559,-0.1552943343551867
120,-0.12238516020584135,-0.15495269657147104
121,-0.122055549758751,-0.15469623712134553
122,-0.12159906573347032,-0.15443518767267855
123,-0.12095862075291701,-0.15405253013618903
124,-0.1204692573796507,-0.15383654221887108
125,-0.11992527903014237,-0.1535455126626343
126,-0.1194161364501541,-0.15324369069764882
127,-0.11875814100682469,-0.15283564305213104
128,-0.1185121622055478,-0.15272376318135789
129,-0.1179192661512989,-0.15240109810824123
130,-0.11748089873275483,-0.1521712542000099
131,-0.11703424697980112,-0.1518438808848296
132,-0.11644673287636677,-0.1514776269496852
133,-0.11603243015933441,-0.15130573311671694
134,-0.11562078616900272,-0.151098097491827
135,-0.11514171371633522,-0.15089168729980296
136,-0.11483173198200264,-0.1507808286230847
137,-0.11444960630778968,-0.15047670628412294
138,-0.1141144634159206,-0.15023436081077735
139,-0.11372131585042562,-0.15008153643310804
140,-0.11318408823016805,-0.1497371360507386
141,-0.11304152028142658,-0.14968992463716868
142,-0.11260184858185954,-0.14951411801855846
143,-0.11219076356910912,-0.14931615686366237
144,-0.1119167570585969,-0.14912797767287117
145,-0.11142795982929111,-0.14890653980412338
146,-0.11106195134200485,-0.14864364145674644
147,-0.11080308739084171,-0.1485749634692013
148,-0.11036170292663462,-0.14829534978755723
149,-0.10978910205841344,-0.14786196578006672
